dataset_key,dataset,feature_set,features,classifier,repeat,fold,accuracy
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,1,5,0.89453125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,1,5,0.958984375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,1,5,0.935546875
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,1,5,0.953125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,2,1,0.9005847953216374
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,2,1,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,2,1,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,2,1,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,2,2,0.9064327485380117
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,2,2,0.935672514619883
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,2,2,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,2,2,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,2,3,0.9044834307992202
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,2,3,0.9571150097465887
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,2,3,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,2,3,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,2,4,0.8947368421052632
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,2,4,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,2,4,0.9298245614035088
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,2,4,0.9473684210526315
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,2,5,0.90625
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,2,5,0.955078125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,2,5,0.9375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,2,5,0.955078125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,3,1,0.9005847953216374
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,3,1,0.935672514619883
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,3,1,0.9064327485380117
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,3,1,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,3,2,0.9161793372319688
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,3,2,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,3,2,0.9317738791423001
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,3,2,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,3,3,0.9025341130604289
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,3,3,0.9629629629629629
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,3,3,0.9317738791423001
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,3,3,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,3,4,0.898635477582846
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,3,4,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,3,4,0.9181286549707602
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,3,4,0.9610136452241715
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,3,5,0.9140625
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,3,5,0.93359375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,3,5,0.927734375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,3,5,0.93359375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,4,1,0.884990253411306
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,4,1,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,4,1,0.9181286549707602
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,4,1,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,4,2,0.9103313840155945
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,4,2,0.9610136452241715
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,4,2,0.9220272904483431
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,4,2,0.949317738791423
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,4,3,0.9122807017543859
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,4,3,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,4,3,0.9337231968810916
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,4,3,0.949317738791423
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,4,4,0.8888888888888888
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,4,4,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,4,4,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,4,4,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,4,5,0.921875
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,4,5,0.955078125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,4,5,0.927734375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,4,5,0.95703125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,5,1,0.8869395711500975
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,5,1,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,5,1,0.9278752436647173
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,5,1,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,5,2,0.8888888888888888
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,5,2,0.9454191033138402
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,5,2,0.9259259259259259
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,5,2,0.9473684210526315
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,5,3,0.8908382066276803
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,5,3,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,5,3,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,5,3,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,5,4,0.9161793372319688
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,5,4,0.949317738791423
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,5,4,0.9083820662768031
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,5,4,0.949317738791423
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,5,5,0.912109375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,5,5,0.958984375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,5,5,0.912109375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,5,5,0.95703125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,6,1,0.9122807017543859
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,6,1,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,6,1,0.9395711500974658
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,6,1,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,6,2,0.9298245614035088
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,6,2,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,6,2,0.9103313840155945
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,6,2,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,6,3,0.884990253411306
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,6,3,0.9337231968810916
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,6,3,0.898635477582846
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,6,3,0.9395711500974658
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,6,4,0.9161793372319688
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,6,4,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,6,4,0.9337231968810916
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,6,4,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",MNB,6,5,0.880859375
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",LR,6,5,0.947265625
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",RF,6,5,0.9453125
Cruz,Fake News Filipino 2020,+ Out-of-vocabulary (OOV),"vectorizers,read,oov",SVC,6,5,0.951171875
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,1,1,0.9044834307992202
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,1,1,0.9688109161793372
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,1,1,0.9298245614035088
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,1,1,0.9688109161793372
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,1,2,0.8927875243664717
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,1,2,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,1,2,0.9161793372319688
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,1,2,0.935672514619883
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,1,3,0.9005847953216374
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,1,3,0.9395711500974658
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,1,3,0.9083820662768031
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,1,3,0.9395711500974658
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,1,4,0.8888888888888888
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,1,4,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,1,4,0.9122807017543859
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,1,4,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,1,5,0.88671875
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,1,5,0.958984375
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,1,5,0.94140625
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,1,5,0.953125
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,2,1,0.9005847953216374
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,2,1,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,2,1,0.9239766081871345
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,2,1,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,2,2,0.8966861598440545
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,2,2,0.935672514619883
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,2,2,0.9083820662768031
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,2,2,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,2,3,0.9044834307992202
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,2,3,0.9571150097465887
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,2,3,0.9044834307992202
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,2,3,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,2,4,0.8732943469785575
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,2,4,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,2,4,0.9395711500974658
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,2,4,0.949317738791423
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,2,5,0.900390625
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,2,5,0.955078125
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,2,5,0.9296875
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,2,5,0.955078125
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,3,1,0.8908382066276803
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,3,1,0.935672514619883
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,3,1,0.9025341130604289
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,3,1,0.9376218323586745
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,3,2,0.9044834307992202
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,3,2,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,3,2,0.9298245614035088
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,3,2,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,3,3,0.8927875243664717
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,3,3,0.9629629629629629
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,3,3,0.9298245614035088
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,3,3,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,3,4,0.8927875243664717
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,3,4,0.9590643274853801
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,3,4,0.9083820662768031
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,3,4,0.9610136452241715
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,3,5,0.912109375
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,3,5,0.93359375
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,3,5,0.91796875
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,3,5,0.93359375
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,4,1,0.8791423001949318
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,4,1,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,4,1,0.9142300194931774
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,4,1,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,4,2,0.8947368421052632
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,4,2,0.9610136452241715
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,4,2,0.9161793372319688
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,4,2,0.949317738791423
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,4,3,0.9083820662768031
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,4,3,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,4,3,0.9395711500974658
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,4,3,0.949317738791423
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,4,4,0.884990253411306
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,4,4,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,4,4,0.9337231968810916
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,4,4,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,4,5,0.916015625
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,4,5,0.955078125
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,4,5,0.923828125
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,4,5,0.95703125
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,5,1,0.8732943469785575
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,5,1,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,5,1,0.9317738791423001
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,5,1,0.9434697855750487
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,5,2,0.8830409356725146
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,5,2,0.9454191033138402
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,5,2,0.9161793372319688
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,5,2,0.9473684210526315
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,5,3,0.8830409356725146
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,5,3,0.9532163742690059
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,5,3,0.9337231968810916
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,5,3,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,5,4,0.9181286549707602
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,5,4,0.9473684210526315
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,5,4,0.9083820662768031
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,5,4,0.949317738791423
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,5,5,0.90625
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,5,5,0.958984375
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,5,5,0.912109375
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,5,5,0.95703125
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,6,1,0.9044834307992202
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",LR,6,1,0.9551656920077972
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",RF,6,1,0.9415204678362573
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",SVC,6,1,0.9512670565302144
Cruz,Fake News Filipino 2020,+ Stop words (SW),"vectorizers,read,oov,sw",MNB,6,2,0.9278752436647173
